month_TA1305000030,week_TA1305000030,day_TA1305000030,hour_TA1305000030,month_TA1306000010,week_TA1306000010,day_TA1306000010,hour_TA1306000010,month_TA1307000120,week_TA1307000120,day_TA1307000120,hour_TA1307000120,month_TA1307000126,week_TA1307000126,day_TA1307000126,hour_TA1307000126,y
0,0,0,0,9,6,26,22,0,0,0,0,0,0,0,0,1
0,0,0,0,9,6,26,23,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,6,0,0,0,0,0,7
0,0,0,0,0,0,0,0,9,0,6,2,0,0,0,0,2
0,0,0,0,0,0,0,0,9,0,6,5,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,6,6,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,6,8,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,6,9,0,0,0,0,11
0,0,0,0,0,0,0,0,9,0,6,10,0,0,0,0,11
0,0,0,0,0,0,0,0,9,0,6,11,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,6,12,0,0,0,0,9
0,0,0,0,0,0,0,0,9,0,6,13,0,0,0,0,9
0,0,0,0,0,0,0,0,9,0,6,14,0,0,0,0,9
0,0,0,0,0,0,0,0,9,0,6,15,0,0,0,0,14
0,0,0,0,0,0,0,0,9,0,6,16,0,0,0,0,11
0,0,0,0,0,0,0,0,9,0,6,17,0,0,0,0,12
0,0,0,0,0,0,0,0,9,0,6,18,0,0,0,0,5
0,0,0,0,0,0,0,0,9,0,6,19,0,0,0,0,8
0,0,0,0,0,0,0,0,9,0,6,20,0,0,0,0,2
0,0,0,0,0,0,0,0,9,0,6,21,0,0,0,0,2
0,0,0,0,0,0,0,0,9,0,6,22,0,0,0,0,1
0,0,0,0,0,0,0,0,9,0,6,23,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,13,0,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,13,6,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,13,7,0,0,0,0,8
0,0,0,0,0,0,0,0,9,0,13,8,0,0,0,0,7
0,0,0,0,0,0,0,0,9,0,13,9,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,13,10,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,13,11,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,13,12,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,13,13,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,13,14,0,0,0,0,4
0,0,0,0,0,0,0,0,9,0,13,15,0,0,0,0,10
0,0,0,0,0,0,0,0,9,0,13,16,0,0,0,0,3
0,0,0,0,0,0,0,0,9,0,13,17,0,0,0,0,19
0,0,0,0,0,0,0,0,9,0,13,18,0,0,0,0,16
0,0,0,0,0,0,0,0,9,0,13,19,0,0,0,0,15
0,0,0,0,0,0,0,0,9,0,13,20,0,0,0,0,9
0,0,0,0,0,0,0,0,9,0,13,21,0,0,0,0,4
